tempo_min CA CB CC CD XA
19.063545 0.016521 0.018363 0.014672 0.000222 0.669578
19.130435 0.016521 0.018363 0.014673 0.000222 0.669578
19.197324 0.016521 0.018363 0.014673 0.000221 0.669578
19.264214 0.016521 0.018363 0.014673 0.000221 0.669578
19.331104 0.016521 0.018362 0.014674 0.000221 0.669578
19.397993 0.016521 0.018362 0.014674 0.000221 0.669578
19.464883 0.016521 0.018362 0.014674 0.000221 0.669578
19.531773 0.016521 0.018362 0.014674 0.000221 0.669578
19.598662 0.016521 0.018362 0.014675 0.000221 0.669578
19.665552 0.016521 0.018362 0.014675 0.000221 0.669578
19.732441 0.016521 0.018362 0.014675 0.000221 0.669578
19.799331 0.016521 0.018361 0.014675 0.000221 0.669578
19.866221 0.016521 0.018361 0.014676 0.000221 0.669578
19.933110 0.016521 0.018361 0.014676 0.000221 0.669578
20.000000 0.016521 0.018361 0.014676 0.000221 0.669578
